il,nüfus
Adana,12237940.0
Adıyaman,2431758.0
Afyonkarahisar,3436233.0
Ağrı,4307539.0
Aksaray,68293878.0
Amasya,5245778.0
Ankara,65639076.0
Antalya,72511700.0
Ardahan,7539272.0
Artvin,8106389.0
Aydın,91110972.0
Balıkesir,101228620.0
Bartın,7486527.0
Batman,72492312.0
Bayburt,6952517.0
Bilecik,11178534.0
Bingöl,12179821.0
Bitlis,13206402.0
Bolu,14226629.0
Burdur,15185501.0
Bursa,163056120.0
Çanakkale,17328736.0
Çankırı,18135140.0
Çorum,19393522.0
Denizli,201037208.0
Diyarbakır,211756353.0
Düzce,81258802.0
Edirne,22306464.0
Elazığ,23450551.0
Erzincan,24177564.0
Erzurum,25762062.0
Eskişehir,26887475.0
Gaziantep,272069364.0
Giresun,28299792.0
Gümüşhane,29100157.0
Hakkari,30165140.0
Hatay,311628894.0
Iğdır,76113134.0
Isparta,32328678.0
İstanbul,341.5519267E7
İzmir,354367251.0
Kahramanmaraş,461154102.0
Karabük,78191536.0
Karaman,70190269.0
Kars,36138934.0
Kastamonu,37237783.0
Kayseri,381407409.0
Kilis,79108172.0
Kırıkkale,71246634.0
Kırklareli,39259302.0
Kırşehir,40191417.0
Kocaeli,411953035.0
Konya,422232374.0
Kütahya,43413102.0
Malatya,44800165.0
Manisa,451440611.0
Mardin,47838778.0
Mersin,331840425.0
Muğla,48983142.0
Muş,49189102.0
Nevşehir,50194058.0
Niğde,51217640.0
Ordu,52754198.0
Osmaniye,80416335.0
Rize,53223584.0
Sakarya,541029650.0
Samsun,551348542.0
Şanlıurfa,632073614.0
Siirt,56218553.0
Sinop,57134385.0
Şırnak,73335652.0
Sivas,58475643.0
Tekirdağ,591055412.0
Tokat,60395106.0
Trabzon,61808974.0
Tunceli,6254595.0
Türkiye,TR7.715128E7
Uşak,64278806.0
Van,651136757.0
Yalova,77200274.0
Yozgat,66275026.0
Zonguldak,67369112.0
